Rok,Kvartal,HDD
1999,1,498236
1999,2,554941
1999,3,559235
1999,4,599236
2000,1,528867
2000,2,588184
2000,3,597710
2000,4,625634
2001,1,571397
2001,2,622620
2001,3,628295
2001,4,682971
2002,1,600792
2002,2,662270
2002,3,656662
2002,4,675273
2003,1,642006
2003,2,694121
2003,3,688545
2003,4,706736
2004,1,686373
2004,2,721718
2004,3,713865
2004,4,806961
2005,1,729273
2005,2,758802
2005,3,782967
2005,4,845903
2006,1,773954
2006,2,805561
2006,3,836444
2006,4,877512
2007,1,863800
2007,2,865904
2007,3,894716
2007,4,958901
2008,1,901262
2008,2,905722
2008,3,982277
2008,4,982810
2009,1,881039
2009,2,879524
2009,3,913895
2009,4,979676
2010,1,876389
2010,2,918262
2010,3,884785
2010,4,985708
2011,1,831241
2011,2,973441
2011,3,931367
2011,4,964642
2012,1,871044
2012,2,946613
2012,3,967475
2012,4,1008524
2013,1,874298
2013,2,956650
2013,3,982034
2013,4,1033223
2014,1,932991
2014,2,984729
2014,3,1016359
2014,4,1079260
2015,1,986369
2015,2,1061845
2015,3,1080874
2015,4,1144813
2016,1,1005999
2016,2,1164251
2016,3,1092025
2016,4,1156706
2017,1,1088033
2017,2,1223479
2017,3,1200276
2017,4,1256024
2018,1,1156572
2018,2,1275141
2018,3,1283448
2018,4,1342268
2019,1,1325359
2019,2,1255246
2019,3,1382073
2019,4,1428075
2020,1,1281879
2020,2,1220002
2020,3,1376622
2020,4,1482928
2021,1,1306820
2021,2,1443002
2021,3,1496362
2021,4,1542081
2022,1,1488183
2022,2,1589788
2022,3,1579872
2022,4,1744981
